Level,HP
1,500
2,505
3,510
4,515
5,520
6,525
7,530
8,535
9,540
10,545
11,550
12,555
13,560
14,565
15,570
16,575
17,580
18,585
19,590
20,595
21,600
22,605
23,610
24,615
25,620
26,625
27,630
28,635
29,640
30,645
31,650
32,655
33,660
34,665
35,670
36,675
37,680
38,685
39,690
40,695
41,700
42,705
43,710
44,715
45,720
46,725
47,730
48,735
49,740
50,745
51,750
52,755
53,760
54,765
55,770
56,775
57,780
58,785
59,790
60,795
61,800
62,805
63,810
64,815
65,820
66,825
67,830
68,835
69,840
70,845
71,850
72,855
73,860
74,865
75,870
76,875
77,880
78,885
79,890
80,895
81,900
82,905
83,910
84,915
85,920
86,925
87,930
88,935
89,940
90,945
91,950
92,955
93,960
94,965
95,970
96,975
97,980
98,985
99,990
100,995
